recordTime,speed,lane
2016-09-08 15:16:00.000,-1,2
2016-09-08 15:16:00.000,62,3
2016-09-08 15:16:20.000,64,1
2016-09-08 15:16:20.000,-1,2
2016-09-08 15:16:20.000,67,3
2016-09-08 15:16:40.000,60,1
2016-09-08 15:16:40.000,11,2
2016-09-08 15:16:40.000,75,3
2016-09-08 15:17:00.000,61,1
2016-09-08 15:17:00.000,26,2
2016-09-08 15:17:00.000,69,3
2016-09-08 15:17:20.000,67,1
2016-09-08 15:17:20.000,35,2
2016-09-08 15:17:20.000,63,3
2016-09-08 15:17:40.000,0,1
2016-09-08 15:17:40.000,-1,2
2016-09-08 15:17:40.000,59,3
2016-09-08 15:18:00.000,0,1
2016-09-08 15:18:00.000,54,2
2016-09-08 15:18:00.000,70,3
2016-09-08 15:18:20.000,0,1
2016-09-08 15:18:20.000,-1,2
2016-09-08 15:18:20.000,0,3
2016-09-08 15:18:40.000,60,1
2016-09-08 15:18:40.000,48,2
2016-09-08 15:18:40.000,70,3
2016-09-08 15:19:00.000,74,1
2016-09-08 15:19:00.000,53,2
2016-09-08 15:19:00.000,0,3
2016-09-08 15:19:20.000,62,1
2016-09-08 15:19:20.000,30,2
2016-09-08 15:19:20.000,67,3
2016-09-08 15:19:40.000,59,1
2016-09-08 15:19:40.000,19,2
2016-09-08 15:19:40.000,60,3
2016-09-08 15:20:00.000,0,1
2016-09-08 15:20:00.000,27,2
2016-09-08 15:20:00.000,82,3
2016-09-08 15:20:20.000,71,1
2016-09-08 15:20:20.000,-1,2
2016-09-08 15:20:20.000,67,3
2016-09-08 15:20:40.000,68,1
2016-09-08 15:20:40.000,71,2
2016-09-08 15:20:40.000,0,3
2016-09-08 15:21:00.000,71,1
2016-09-08 15:21:00.000,-1,2
2016-09-08 15:21:00.000,60,3
2016-09-08 15:21:20.000,65,1
2016-09-08 15:21:20.000,-1,2
2016-09-08 15:21:20.000,58,3
2016-09-08 15:21:40.000,57,1
2016-09-08 15:21:40.000,62,2
2016-09-08 15:21:40.000,62,3
2016-09-08 15:22:00.000,62,1
2016-09-08 15:22:00.000,85,2
2016-09-08 15:22:00.000,63,3
2016-09-08 15:22:20.000,63,1
2016-09-08 15:22:20.000,98,2
2016-09-08 15:22:20.000,69,3
2016-09-08 15:22:40.000,0,1
2016-09-08 15:22:40.000,66,2
2016-09-08 15:22:40.000,71,3
2016-09-08 15:23:00.000,63,1
2016-09-08 15:23:00.000,100,2
2016-09-08 15:23:00.000,81,3
2016-09-08 15:23:20.000,0,1
2016-09-08 15:23:20.000,133,2
2016-09-08 15:23:20.000,70,3
2016-09-08 15:23:40.000,65,1
2016-09-08 15:23:40.000,53,2
2016-09-08 15:23:40.000,67,3
2016-09-08 15:24:00.000,61,1
2016-09-08 15:24:00.000,73,2
2016-09-08 15:24:00.000,69,3
2016-09-08 15:24:20.000,62,1
2016-09-08 15:24:20.000,84,2
2016-09-08 15:24:20.000,65,3
2016-09-08 15:24:40.000,63,1
2016-09-08 15:24:40.000,-1,2
2016-09-08 15:24:40.000,63,3
2016-09-08 15:25:00.000,68,1
2016-09-08 15:25:00.000,109,2
2016-09-08 15:25:00.000,0,3
2016-09-08 15:25:20.000,64,1
2016-09-08 15:25:20.000,49,2
2016-09-08 15:25:20.000,64,3
2016-09-08 15:25:40.000,58,1
2016-09-08 15:25:40.000,79,2
2016-09-08 15:25:40.000,62,3
2016-09-08 15:26:00.000,80,1
2016-09-08 15:26:00.000,-1,2
2016-09-08 15:26:00.000,67,3
2016-09-08 15:26:20.000,0,1
2016-09-08 15:26:20.000,47,2
2016-09-08 15:26:20.000,0,3
2016-09-08 15:26:40.000,61,1
2016-09-08 15:26:40.000,145,2
2016-09-08 15:26:40.000,64,3
2016-09-08 15:27:00.000,56,1
2016-09-08 15:27:00.000,81,2
2016-09-08 15:27:00.000,67,3
2016-09-08 15:27:20.000,60,1
2016-09-08 15:27:20.000,136,2
2016-09-08 15:27:20.000,77,3
2016-09-08 15:27:40.000,62,1
2016-09-08 15:27:40.000,0,2
2016-09-08 15:27:40.000,63,3
2016-09-08 15:28:00.000,0,1
2016-09-08 15:28:00.000,43,2
2016-09-08 15:28:00.000,63,3
2016-09-08 15:28:20.000,57,1
2016-09-08 15:28:20.000,0,2
2016-09-08 15:28:20.000,77,3
2016-09-08 15:28:40.000,67,1
2016-09-08 15:28:40.000,175,2
2016-09-08 15:28:40.000,73,3
2016-09-08 15:29:00.000,66,1
2016-09-08 15:29:00.000,49,2
2016-09-08 15:29:00.000,65,3
2016-09-08 15:29:20.000,67,1
2016-09-08 15:29:20.000,29,2
2016-09-08 15:29:20.000,63,3
2016-09-08 15:29:40.000,57,1
2016-09-08 15:29:40.000,-1,2
2016-09-08 15:29:40.000,62,3
2016-09-08 15:30:00.000,0,1
2016-09-08 15:30:00.000,0,2
2016-09-08 15:30:00.000,69,3
2016-09-08 15:30:20.000,69,1
2016-09-08 15:30:20.000,79,2
2016-09-08 15:30:20.000,66,3
2016-09-08 15:30:40.000,64,1
2016-09-08 15:30:40.000,56,2
2016-09-08 15:30:40.000,69,3
2016-09-08 15:31:00.000,73,1
2016-09-08 15:31:00.000,193,2
2016-09-08 15:31:00.000,67,3
2016-09-08 15:31:20.000,62,1
2016-09-08 15:31:20.000,48,2
2016-09-08 15:31:20.000,69,3
2016-09-08 15:31:40.000,64,1
2016-09-08 15:31:40.000,94,2
2016-09-08 15:31:40.000,60,3
2016-09-08 15:32:00.000,59,1
2016-09-08 15:32:00.000,71,2
